순위,ISBN,상품번호,상품명,정가,판매가,YES포인트,저자,출판사,설명,할인율(%),설명길이
212,9791127881511,144214721,청춘 돼지는 걸 프렌드의 꿈을 꾸지 않는다,8500,7650,420,카모시다 하지메 저/미조구치 케이지 그림/이승원 역,디앤씨미디어(D&C미디어),"“사실, 제가 키리시마 토코예요.”

꿈에서 봤던 그 무대 위에서 키리시마 토코의 노래를 부른 마이가, 수많은 관중의 앞에서 그 말을 했다. 꿈에서 본 그날이 드디어 찾아온, 시리즈 제14탄.",10.0,107
213,9791198948724,142251261,똥볶이 할멈의 힘 주는 말,16000,14400,800,강효미 글/김무연 그림/권윤정 감수,슈크림북,"“어깨가 축 처졌구나. 까짓것, 괜찮다! 괜찮고말고.”
최고의 카운슬러 똥볶이 할멈과
내 마음을 스스로 일으켜 세우는 
‘힘 주는 말’을 배워 보아요!

“떡볶이~ 떡볶이. 우주 최강 떡볶이~ 비법이 뭐냐고 물으신다면~ 손맛이라 손맛이라 대답하지요~.” 햇살 초등학교 앞 ‘방과 후 할멈 떡볶이’ 가게 주인이자 아이들의 고민 해결사인 똥볶이 할멈이 스물일곱 가지의 ‘힘 주는 말’로 독자들을 찾아왔습니다. 학교, 집, 학원을 바삐 오가느라 자신의 감정과 생각을 깨닫는 것에 소홀해지기 쉬운 요즘 아이들이, 자신을 돌보고 다독일 수 있게 하는 보물 같은 말들을 담았지요. 

‘똥볶이 할멈의 힘 주는 말’ 편에서는 고민으로 끙끙 앓거나 울적해하는 아이들을 위로해 주는 열다섯 가지의 힘 나는 말들을 똥볶이 할멈 특유의 배려 가득한 목소리로 담았습니다.",10.0,419
214,9791193937396,140537260,왜 그들만 부자가 되는가,22000,19800,1100,"필립 바구스,안드레아스 마르크바르트 저/배진아 역",북모먼트,"“부자가 되지 못한 것은 당신 탓이 아니다!”
누구는 왜 끝없이 부를 쌓고, 누구는 가난을 반복하는가
모두가 감히 입 밖에 내지 못했던 진정한 돈 이야기

출간 이후 해외로 수출되며 스페인 아마존 등 경제 분야 베스트셀러 1위를 차지하고, 마크 파버를 비롯한 세계적 투자자와 경제학자들의 극찬을 받은 『왜 그들만 부자가 되는가』가 출간되었다. 그 어느 때보다 경제가 점점 어려워지고 있다. 찰나의 호황기가 지나면 기나긴 불황이 찾아오고 위기가 반복해서 나타난다. 하지만 급변하는 시대에도 부를 잃지 않는 사람들, 위기 속에서 부를 쌓는 이들이 존재한다. 반면 다수의 사람들은 이런 의문을 품은 채 살아간다.",10.0,339
215,9791142315459,144163832,타키 포오의 이세계 여행사 9,14500,13050,720,원작 캐릭온TV 원저/송도수 글/이지운 그림,대원씨아이(단행)(대원키즈),"아이가 직접 고르는 책! 책의 즐거움과 교훈을 스스로 알아가요!

246만 구독자, 대한민국 최고의 유튜버 캐릭온TV의 ’타키와 포오‘가 이세계 여행사를 차리고 여러분을 기다립니다! 유튜브 채널에서 만나볼 수 없었던 새로운 이야기를 책으로 만나 보세요! 검증된 베스트셀러 작가를 통해 재탄생한 타키와 포오의 기상천외한 모험 이야기! 책을 읽는 사이 나도 몰랐던 탐험심, 도전 정신 UP! 서로를 돕고 이끄는 진~한 우정에 감동! 보너스로 상상력과 창의력도 업그레이드 됩니다.",10.0,265
216,9791190302333,141840310,2025 선재국어 실전 봉투 모의고사 2 결승선,18000,16200,180,"이선재,선재국어연구소 공편저",수비니겨,"“2025 인사 혁신처 출제 기조에 꼭 맞춘 실전 모의고사” 

『2025 선재국어 실전 봉투 모의고사2 결승선』은 인사 혁신처 예시 문제의 철저한 분석을 바탕으로 하여, 변화하는 2025 공무원 시험 출제 기조를 완벽히 반영한 신유형 문제와, 실전과 똑같은 형태의 시험지+ OMR카드로 변화하는 2025 공무원 시험에 대비한 실전 훈련과 풀이 시간 단축에 최적화된 실전 모의고사이다. 실전 감각을 극대화하여 실제 시험장에서 긴장하지 않고 본인의 실력을 100% 발휘할 수 있도록 도와준다. 또한 「NEW 나의 위치 확인 온라인 시스템」으로 자신의 성적과 전국 단위에서의 위치를 객관적으로 정확하게 파악할 수 있다.",10.0,344
217,9791194383116,140835200,이게 되네? 챗GPT 미친 활용법 71제,24000,21600,1200,오힘찬 저,골든래빗,"챗GPT가 2024년 12월에 12일 동안 12가지 신기능으로 싹 바뀌었다! 
초강력 모델 o1 활용, 캔버스 글쓰기, Sora 영상 제작, 프로젝트 등 20가지 예제 전격 추가!
25주 연속 베스트셀러가 더 강력해져 돌아왔다! 게다가 가격은 그대로, 읽기 편하게 판형은 더 크게!

2024년 12월에 챗GPT는 완전히 새롭게 태어났다. 초강력 최신 GPT인 o1 정식 버전을 출시하고, 무제한 사용 정책을 내놓았다. 이제 o1을 하루에 얼마나 쓸 수 있느냐에 따라 인공지능 빈부격차가 커질 것이다. 한편 글로 영상을 손쉽게 만드는 Sora를 전격 탑재해 누구나 유튜브 쇼츠, 릴스, 단편 영화를 만들 수 있게 되었다. 그밖에 캔버스와 챗GPT 서치 기능을 더 강력하게 지원한다. 이에 챗GPT 분야 25주 연속 베스트셀러인 『이게 되네? 챗GPT 미친 활용법 51제』가 최신 챗GPT 업데이트를 반영하여 완전히 새로운 개정판으로 다시 찾아왔다.",10.0,474
218,9788901276533,123675187,나는 메트로폴리탄 미술관의 경비원입니다 (20만 부 양장 에디션),17500,15750,870,"패트릭 브링리 저/김희정,조현주 역",웅진지식하우스,"★ 2024년 대한민국 3대 서점 종합 베스트셀러 1위 ★
★ 평론가 이동진 선정 ‘올해의 책’ ★
★ 아마존 40주 연속 베스트셀러 ★

2024년 독자들의 뜨거운 사랑을 받은 에세이
『나는 메트로폴리탄 미술관의 경비원입니다』
20만 부 기념 양장 에디션 출간!

“나의 결혼식이 열렸어야 했던 날, 형의 장례식이 거행되었다.
그해 가을, 나는 다니던 《뉴요커》를 그만두고 
메트로폴리탄 미술관의 경비원으로 지원했다. 
그렇게 한동안은 고요하게 서 있고 싶었다”

인류의 위대한 걸작들을 가장 가까이서 지켜본 한 남자의
삶과 죽음, 인생과 예술에 대한
우아하고 지적인 10년의 회고",10.0,326
219,9788954696012,122883845,샤워젤과 소다수,12000,10800,600,고선경 저,문학동네,"한국시의 새로운 얼굴
문학동네시인선 베스트셀러 3종 특별 리커버

지난 2023년 10월, 문학동네시인선이 출범 13년 만에 200번을 돌파했다. 세상에 200개의 컬러를 더한 문학동네시인선을 향한 독자들의 너른 사랑은 이어지는 컬러들에도 더욱 폭발적으로 쏟아지고 있다. 이에 문학동네는 문학동네시인선 200번 이후의 시집 중에서 많은 사랑을 받은 시집 『샤워젤과 소다수』 『오믈렛』 『당근밭 걷기』를 새로 리커버해 선보인다.

이번 3종 리커버는 ‘런치박스’를 콘셉트로 한다. 일상에서 쉽게 접할 수 있는 음식과 식재료를 담아낸 제목들은 평범해 보이는 삶의 이면으로부터 잠재된 가능세계를 찾아내는 시적인 태도를 함축하고 있다. 이러한 제목에 대해 시인들은 출간 당시 편집부와 진행한 미니 인터뷰에서 보다 구체적으로 연유를 밝힌 바 있다.",10.0,413
220,9791198243430,119458052,최소한의 한국사,18000,16200,900,최태성 저 ,프런트페이지,"대한민국 대표 역사 강사 최태성의
5천 년 역사가 단숨에 이해되는 핵심 한국사

‘외워야 할 것 많고 어려운 한국사, 쉽고 빠르고 재미있게 핵심 내용만 알 수 없을까?’ 많은 사람이 역사 공부에 앞서 품는 이 질문에 답하기 위해 대한민국 대표 역사 강사 최태성이 나섰다. 한국사 교과서 저자이자 누적 수강생 700만 명에 이르는 한국사 1등 강사로서 복잡하고 어려운 말 없이 우리 역사에서 반드시 알아야 할 핵심 한국사를 엄선해 한 권에 담았다. 고조선이 건국된 기원전 2333년부터 6·15 남북공동선언이 발표된 2000년까지, 반만년 역사가 단숨에 이해되는 한국사 입문서『최소한의 한국사』다.",10.0,333
221,9788974784300,92514258,주식회사 6학년 2반,15000,13500,750,석혜원 글/한상언 그림,다섯수레,"『주식회사 6학년 2반』은 재미있는 이야기를 따라가면서 자연스럽게 경제 원리를 익히고 경제 개념을 정리할 수 있게 구성되었다. 주식회사 6학년 2반을 운영하는 아이들을 통해 경제가 어떻게 운영되고 사람들은 어떻게 돈을 버는지 쉽게 이해하도록 했으며, 누구든 CEO라든가 경제 원칙 등을 쉽게 이해할 수 있도록 구성했다. 또한 이야기 흐름상 본문에서 다루지 못한 경제 관련 정보는 ‘톡톡 경제 상식’이라는 정보 페이지에서 더 깊이 있게 다루었다. 

독자들은 6학년 2반 아이들이 스스로 회사를 운영하고 어려움을 극복하는 과정을 접하면서 경제 활동의 뼈대를 이루는 주식회사와 노동의 의미를 이해하게 될 것이며, 나라의 경제를 튼튼하고 풍요롭게 가꾸는 것은 경제 주체들의 노력에 달려 있음을 깨닫게 될 것이다.",10.0,395
222,9791198754066,143761351,어른의 기분 관리법 : 심리학편,18000,16200,900,"손힘찬,박용남 저",어센딩,"〈어른의 기분 관리법〉 시리즈 두 번째 책!
심리학에 기반한 감정 관리와 나를 돌보는 법
구체적인 사례와 활용 문장 등 기분 관리법 수록

‘나는 왜 자꾸 화가 날까? 이렇게 사는 게 정상인가?’ 누구나 살면서 한번은 하게 되는 생각이다. 특히 ‘어른’이 되고 나선 다양한 상황과 관계에서 수많은 감정을 맞이한다. 머릿속 온갖 생각은 불안감, 상실감, 죄책감 등 ‘불편한 감정’을 만들어 내고, 때론 그 감정들을 통제하거나 조절하지 못해 손해를 보는 일도 많다. 도대체 무엇이 문제일까? 바로 ‘나 자신’을 모르기 때문이다. 

많은 독자의 호응을 이끌어낸 『어른의 기분 관리법』의 후속인 이 책은, 심리학에 기반해 ‘어른의 감정’을 더욱 깊이 있게 다룬다. 우리의 감정 문제부터 관계 속 문제 해결, 자신의 기분 관리, 불편한 감정과 어두움 활용법 등을 상세하게 알려준다.",10.0,433
223,9791127881528,144214724,청춘 돼지는 디어 프렌드의 꿈을 꾸지 않는다,8500,7650,420,카모시다 하지메 저/미조구치 케이지 그림/이승원 역,디앤씨미디어(D&C미디어),"“너를 만나서 다행이야.”

미오리가 《키리시마 토코》의 진실을 접했을 때, 사쿠타 또한 어떤 결단에 직면하는데…. 사쿠타와 마지막 사춘기 증후군, 시리즈 제15탄.",10.0,92
224,9791193031810,143640942,설민석의 세계사 대모험 24,15000,13500,750,"설민석,김정욱 글/박성일 그림/송영심 감수",단꿈아이,"누적 판매 100만 부 돌파! No.1 세계사 학습 만화!
인도의 문화 체험과 놀이 활동을 담은 액티비티북 제공!
송영심 역사 교사(세계사 교과서 집필)의 꼼꼼한 역사 감수!

세계사의 주요 장면을 쏙쏙 뽑아 엮은 흥미진진한 이야기!
재미와 학습을 책임지는 『설민석의 세계사 대모험』!
이번에는 타지마할 건설 현장으로 떠나자!

세계사는 낯설고 복잡해서 어렵기만 하다고요? 흥미진진한 세계사 현장으로 시간 여행을 떠나, 설쌤이 들려주는 재미있는 이야기에 빠져 보는 건 어떨까요? 『설민석의 세계사 대모험』은 아이들이 꼭 알아야 할 세계사의 주요 장면을 쏙쏙 뽑아 생생하게 경험하고, 다양한 역사 인물을 만나 볼 수 있도록 구성했습니다. 또한 전문가의 꼼꼼한 감수를 통해, 인도의 역사 정보도 알차게 담았답니다.",10.0,397
225,9791193712993,143621729,털실타래 Vol.11 : 2025년 봄호,24000,21600,1200,일본보그사 편,한스미디어,"전 세계에서 사랑받는 No.1 뜨개 & 핸드메이드 잡지
〈털실타래 Vol.11〉 봄에 입기 좋은 ‘베이직한 크로셰 웨어’ 특집!

〈털실타래〉는 현재 전 세계에서 큰 사랑을 받고 있는 최고의 뜨개 & 핸드메이드 잡지다. 뜨개 전문기업 일본보그사에서 매 계절(봄, 여름, 가을, 겨울)마다 발간해온 수예 전문지로, 한국에서는 2022년 가을호를 시작으로 꾸준히 발행하고 있다. 이번에 출간되는 〈털실타래 Vol.11〉의 주제는 가벼운 옷차림으로 외출하기 좋은 봄에 어울리는 ‘베이직한 크로셰 웨어’다.

전 세계 니터와 디자이너에게 영감을 주는 새롭고 다양한 디자인 제안, 각 계절의 테마에 맞는 기획 기사, 글로벌 니트 패션을 선도하는 세련된 화보를 수록한 〈털실타래〉는 매호 총 40점이 넘는 니트 작품과 도안을 소개한다.",10.0,405
226,9788984374966,143372745,마음을 읽는 아이 오로르,22000,19800,1100,더글라스 케네디 저/조안 스파르 그림/조동섭 역,밝은세상,"다름을 ‘긍정’하게 
만드는 햇살 같은 동화 

아이부터 어른까지, 전 연령이 인생 책으로 꼽은《마음을 읽는 아이 오로르》가 새로운 모습으로 돌아왔다. 보고 읽을 콘텐츠가 넘쳐나고 취향이 극도로 세분화된 시대에 모든 세대를 아우를 수 있는 책은 흔치 않다. 이 작품은 온 가족이 함께 읽고 여러 매력의 감상을 나눌 수 있는 아주 특별한 경험을 선사한다.

순수한 아이에게는 남들과 다른 아이 ‘오로르’와 친구가 되어 편견 없는 시각을 가지는 기회를 제공하고, 메마른 일상 속 어른에게는 삶의 고단함을 잠시 잊을 수 있는 따스하고 순수한 시간이 되어준다. 아이와 어른, 그 사이의 어느 시기를 지나며 스스로를 사랑하지 못하는 이들에게는 있는 그대로의 자신을 긍정하는 힘과 용기를 전달한다.

새로운 판형과 내용만큼이나 더욱 사랑스러운 표지로 옷을 갈아입은 《마음을 읽는 아이 오로르》는 자신의 다름을 긍정하고 행복해지고픈 모두를 위한 이야기다.",10.0,471
227,9788936448813,140282380,불량한 자전거 여행,13800,12420,690,김남중 글/허태준 그림,창비,"시리즈 누적 판매 50만부 돌파
베스트셀러 『불량한 자전거 여행』 출간 15주년 기념 개정판

뜨거운 여름 1,100킬로미터 자전거 여행
페달을 밟아 스스로 길을 연 한 소년의 분투기

50만 독자를 사로잡으며 국내 창작동화 분야 스테디셀러로 자리매김한 『불량한 자전거 여행』의 개정판이 출간되었다. 무너진 가족의 돌파구를 찾기 위해 한여름 11박 12일, 1,100킬로미터 자전거 여행을 이어 가는 한 소년의 뜨거운 성장기는 2009년 출간 이후 지금까지도 독자들의 열렬한 지지와 응원을 받고 있으며, 2019년 후속작이 출간되면서 시리즈 탄생의 신호탄을 쏘아 올렸다. 이번 개정판은 첫 출간 후 달라진 시대상과 감수성을 꼼꼼히 반영하여 초판보다 더한층 섬세해졌다. 김남중 작가는 작품의 고유한 영역을 해치지 않는 선에서 문장을 세심하게 다듬고 변화한 지명, 교통 정보를 철저히 확인했다.",10.0,442
228,9788936457136,112890286,클로버,13000,11700,650,나혜림 저 ,창비,"★제15회 창비청소년문학상 수상작!★

“모든 상상이 이루어지는 곳에 온 걸 환영해, 소년”
흔들림 끝에서 용기를 주는 성장소설

『위저드 베이커리』 『아몬드』 『페인트』 『유원』 등으로 한국 청소년문학의 위상을 드높여 온 창비청소년문학상의 열다섯 번째 수상작이 출간되었다. 위태로운 현실에 단단히 발 디딜 힘을 주는 소설, 『클로버』가 그 주인공이다. 『클로버』는 녹록지 않은 삶을 살아가는 소년 정인과 고양이로 둔갑한 악마 헬렐이 함께 일주일을 보내는 이야기다. 지옥에서 온 ‘악마’와 한국에 사는 평범한 ‘소년’, 아무런 접점이 없을 것 같은 두 인물이 만들어 나가는 합이 경쾌하면서도, 무수한 유혹으로 이뤄진 삶을 어떻게 헤쳐 나가야 하는가를 반추하게 만드는 수작이다.",10.0,378
229,9788965422907,72334664,해커스 여행일본어 10분의 기적,9800,8820,490,해커스 일본어연구소 저,해커스어학연구소,"『해커스 여행일본어 10분의 기적』은 상황별·장소별로 바로 말하는 여행 일본어 회화책이다. 일본어를 몰라도 따라하면 말이 술술, 여행의 재미가 생긴다! 일본 여행 중 꼭 쓰는 표현 [이 말 만은 알고 가자]를 수록하였다. 여행지 어디서든 기본적으로 많이 쓰는 표현과 [여행이 한층 더 풍부해지는 일본어]를 수록하였으며 [급할 때 바로 찾아 말하는 여행 단어 사전] 또한 수록하였다.",10.0,213
230,9791172449230,144095287,2025 해커스경찰 킹재규 경찰학 핵심 SUBNOTE(서브노트),43000,38700,2150,김재규 편저,해커스경찰,"해커스경찰 킹재규 경찰학 핵심 SUBNOTE (2025 2차 시험 대비 최신개정판)은 경찰채용, 경찰승진, 경찰간부 등 경찰학을 다루는 시험에 출제되는 핵심내용을 이해하기 쉽게 정리한 교재이다. 시험에 출제되는 핵심내용 이해하기 쉽게 정리했다. 다양한 학습장치로 효과적인 학습 가능하다. 경찰공무원 경찰학 최신 출제 경향에 따른 학습 가능하다. 최신 개정 법령 반영 했다.",10.0,208
231,9791193904299,142639421,꼭 그런 건 아니야,16700,15030,830,매튜 맥커너히 글/르네 쿠릴라 그림/황석희 역,서삼독,"부모 품을 벗어난 아이가 유치원과 학교에서 실패와 좌절을 겪을 때마다 유연한 관점과 긍정적인 생각을 배울 수 있도록 도와주는 그림책. 세상에 내가 최고인 줄만 알았는데 나보다 잘하는 친구가 있다는 걸 깨달았을 때, 힘껏 노력했지만 결과가 마음에 들지 않을 때, 친한 친구가 나를 챙기지 않아서 너무 속상할 때, 나와 생각이 다른 친구를 어떻게 대해야 할지 모르겠을 때 등등 아이가 자랄수록 아이의 세상은 점점 더 복잡하고 섬세해진다. 이 그림책은 그 복잡미묘한 인생의 교훈 앞에서 혼란스러워하는 아이들에게 정답은 없지만 대신 더 많은 가능성을 만날 수 있다는 것을 알려 준다. 그러니 자신감을 가지고 뭐든 해 보라고, 괜찮다고 등을 두드려 주는 이 책을 통해 우리 아이들은 물론 어른까지 따스한 위로를 얻을 수 있을 것이다.",10.0,405
232,9791162052617,142562090,2025 심우철 실전 동형 모의고사 Season 2,14400,12960,720,심우철 저,심슨북스,"『2025 심우철 실전 동형 모의고사』는 총 네 시즌으로 기획된 심우철 강사의 대표 모의고사 시리즈이다. 본 동형 모의고사는 수험생들이 2025년부터 출제 기조가 전환되는 신경향 공무원 영어 시험에 철저히 대비할 수 있도록 인사혁신처에서 발표한 1, 2차 예시 문제를 완벽하게 반영하였다. 1, 2차 예시 문제의 유형과 순서를 동일하게 배치한 것은 물론이고, 난이도, 출제 포인트, 소재, 지문 길이 또한 최대한 동일하게 구성하였다. 『2025 심우철 실전 동형 모의고사』는 여러 교수진과 심슨 영어 연구소가 협업하여 100% 자체 제작한 양질의 문항들로 구성되어 있으며, 친절한 정답과 오답 해설까지 담아 수험생들의 편의를 돕고자 하였다. 『2025 심우철 실전 동형 모의고사』를 통해 수험생들은 마무리 점검과 최종 실전 훈련을 하며 신경향 시험에도 자신 있게 대비할 수 있을 것이다.",10.0,440
233,9791191280333,96794060,데일 카네기 자기관리론,11500,10350,570,데일 카네기 저/임상훈 역,현대지성,"『인간관계론』과 짝을 이루는 데일 카네기 최고의 역작
걱정이 내 인생을 망치기 전에 반드시 읽어야 할 책!

워런 버핏이 직접 적용한, 걱정 없는 인생의 핵심 원리 
세계 최초의 ‘걱정 극복 실험실’에서 탄생한 마법의 공식 수록!

현대지성에서는 출간 즉시 베스트셀러가 된 『데일 카네기 인간관계론』에 이어 저자의 또 다른 역작 『데일 카네기 자기관리론』을 펴냈다. 이 책은 국내에서 유일하게 1948년 초판의 10부까지 고스란히 담은 ‘오리지널’ 초판 완역본이다. 

벼락을 맞아도 끄떡없고, 숱한 폭풍우를 꿋꿋이 견뎌낸 아름드리 고목이 사람의 손가락 마디만 한 딱정벌레의 공격을 받아 맥없이 쓰러진다. 사자도 함부로 덤비지 못할 만큼 전투력이 강한 코끼리가 꿀벌의 가느다란 침에 속수무책으로 당한다. 우리 인생도 다르지 않다. “개미구멍 하나가 큰 제방 둑을 무너뜨린다”라는 속담처럼 사소한 걱정에 쉽게 마음을 내주어 인생을 망치는 사람이 수두룩하다.",10.0,478
234,9788936447014,37211852,아홉 살 마음 사전,13000,11700,650,박성우 글/김효은 그림,창비,"어린이를 위한 감정 사전

마음을 표현하는 80개의 단어를 담은 책 『아홉 살 마음 사전』이 출간되었습니다. 초등학교 저학년 어린이들이 생활에서 활용할 수 있는 감정 표현을 그림과 함께 사전 형태로 소개합니다. 구체적이고 실감 나는 그림과 친절한 설명을 통해 다양한 감정 표현을 익힘으로써 자기 마음을 정확하게 이해하고 표현하는 것은 물론, 더 다양한 감정을 느낄 수 있도록 돕습니다. 간결하고 서정적인 동시로 사랑받는 박성우 시인이 글을 쓰고, 감성을 자극하는 그림을 선보여 온 김효은 작가가 그림을 그렸습니다.

『아홉 살 마음 사전』에는 한국을 대표하는 서정 시인이며 따뜻하고 유머러스한 동시로 어린이 독자에게도 사랑받는 박성우 시인이 고른 80개의 감정 표현이 담겨 있습니다. 시인은 간결한 문장으로 어린이들이 일상에서 자주 접했을 법한 상황을 보여 주면서, 어린이 독자들이 자연스럽게 감정을 느끼도록 합니다.",10.0,457
235,9791173740275,143509970,정치 성향은 어떻게 결정되는가,22000,19800,1100,"존 R. 히빙,케빈 B. 스미스,존 R. 알포드 공저/김광수 역",오픈도어북스,"★★★ 세계적인 뇌과학자 데이비드 이글먼 강력 추천
★★★ 밥 케리 상원의원 등 미 정계에서 주목한 책
★★★ 미 정치학 권위자들이 말하는 보수와 진보의 과학

사고방식과 뇌 구조, 유전자에 이르기까지
서로 다른 길을 걸어온 두 정치 성향,
그 차이와 역사를 조명하는 새로운 과학적 접근

우리는 정치와 연관될 만한 사건이 일어날 때마다 진실을 원한다. 그러나 드러난 진실은 가끔 가혹하기도 하다. 진실은 애초부터 누구의 편도 아니기 때문이다. 그럼에도 진실이 자신의 편에 서지 않는다면, 사람들은 진실을 거짓으로 치부하기 마련이다. 체계적인 과학적 절차에 의거한 연구라도 결과가 자신의 정치 신념과 배치된다면, 사람들은 그 연구에 유사과학이라는 낙인을 찍기 바쁘다. 그러나 『정치 성향은 어떻게 결정되는가?』는 우리의 정치 성향에 생물학적 근거가 있음을 낱낱이 밝힌다는 점에서 과학적이다. 

사실 과학의 시각에서 정치 성향을 규명하기란 쉽지 않은 일처럼 보인다.",10.0,484
236,9791194530213,143527379,초역 부처의 말 필사집,22000,19800,1100,코이케 류노스케 저/박재현 역,포레스트북스,"한국, 일본 누적 50만 부 판매
전국 서점 종합 베스트셀러 1위
『초역 부처의 말』을 필사집으로 만나다!

“집착하지 마라,
세상만사에 집착하지 않으면 문제가 없다.”
「부처」

출간 즉시 베스트셀러, 계속해서 분야 1위를 기록하며 독자들의 뜨거운 사랑을 받는『초역 부처의 말』이 필사할 수 있도록 구성을 바꿔 『초역 부처의 말 필사집』으로 출간됐다. 그동안 독자들에게 ‘필사하기 좋은 책’으로 입소문 나면서 출판사로 ‘필사집 제작 요청’이 쇄도했다고. 2500년 동안 사람들에게 사랑받아 온 부처의 말을 현대어로 재해석한 이 책은 세상살이에 지친 사람들에게 힘과 용기를 불어넣어 준다. 대중들에게 큰 화제가 되며, 한때 품귀현상까지 벌어지게 만든 유명인의 리뷰를 요약하면 다음과 같다. “책에서 ‘집착하지 마라’는 말이 정말 큰 힘이 되어주었다.",10.0,419
237,9791138388481,143095563,2025 시대에듀 투자자산운용사 실제유형 모의고사 + 특별부록 PASSCODE Premium ver 9.0,55000,49500,2750,유창호 편저,시대고시기획 시대교육,"실제 문제에 가장 가까운 문제로만 구성된 모의고사로 구성되었다. 프리미엄강의노트(2회분)와 기출풀복원강의(유료) 할인쿠폰을 제공하고, 자가 오답정리를 통해 약점을 보완할 수 있도록 해설을 풍부하게 담았으며, 빠르게 전 범위 최종 정리가 가능하도록 빈출포인트 O/X퀴즈와 실제유형문제 추가 풀(100문항)을 무료로 제공한다. 문제별 난이도를 별의 개수로 표시하였으며, 실전감각을 향상할 수 있도록 회차별 OMR 카드를 제공한다.

투자자산운용사 시험은 시험범위가 방대함에도 출제 문제 수가 100문항밖에 되지 않으므로, 주로 어떤 내용과 유형이 시험에 반영되어 왔는가를 파악하는 것이야말로 합격 여부를 결정할 수 있는 핵심이라 할 수 있다. 패스코드를 충분히 이해할 경우 시험의 88% 정도를 커버할 수 있다. 시대에듀 ‘한권으로 끝내기’ 도서는 패스코드를 충분히 이해할 수 있는 개념 체계를 제공하며, 교재의 특성상 패스코드보다 더 많은 범위를 커버하고 있다.",10.0,481
238,9791193937532,142692077,스위트 스팟,19800,17820,990,샘 리처드 저/김수민 역,북플레저,"40년 간 전 세계 5만 명의 인생을 바꾼 전설의 명강의
펜실베이니아 주립대 ‘샘 리처드 교수’의 첫 책 전 세계 최초 국내 출간!
인생의 숨은 기회를 찾아 내는 9가지 통찰

나아갈지 멈출지, 버틸지 놓을지. 인생을 살다 보면 선택의 기로에서 방향을 잃는 순간들이 찾아온다. 이럴 때 누군가 정답을 알려준다면 좋겠지만, 인생에 정답은 없다. 그렇다면 선택의 압박에 눌리지 않고, 인생을 주도적으로 살아갈 방법은 무엇일까?",10.0,236
239,9791141606862,129124029,저속노화 식사법,19000,17100,950,정희원 저,테이스트북스,"〈어쩌다 어른〉 〈생로병사의 비밀〉 화제의 저자
저속노화 레시피 21식 수록
유튜브 400만 뷰 최고의 식단

“노화를 늦추는 키포인트는 밥이다!”
몸 건강, 뇌 건강을 한번에 잡는, 느리게 나이드는 식사 실천편

일명 ‘저속노화 선생님’, 서울아산병원 노년내과 의사 정희원의 『저속노화 식사법』이 테이스트북스에서 출간되었다. 이 책의 저자 정희원 교수는 “새해에는 남들보다 뇌 늙는 속도를 1/4로 만드는 식사를 해보자”라는 트윗을 시작으로, 〈유 퀴즈 온 더 블럭〉 〈생로병사의 비밀〉 〈어쩌다 어른〉 등에 출연해 저속노화 식사의 중요성을 알리며 전 국민의 건강 습관 형성에 힘써왔다. 그 노력에 힘입어 최근 2030 사이에서는 ‘마라탕후루’ 대신 ‘저속노화’가 유행하는 등 ‘저속노화 식사법’이 사람들의 관심을 한몸에 받고 있다.",10.0,411
240,9791158364519,125117836,감정 호텔,15000,13500,750,리디아 브란코비치 글그림/장미란 역,책읽는곰,"〈이서윤의 초등생활처방전〉 이서윤 · 〈어디든학교〉 하유정 선생님 강력 추천! 

날마다 다른 감정들이 머물다 가는 곳,
감정 호텔에 오신 것을 환영합니다!

목소리가 작은 슬픔, 시끄러운 분노,
주목받기 좋아하는 불안,
호텔이 조용해지면 찾아오는 평화까지….
오늘은 또 어떤 감정이 여러분의 감정 호텔에 머무르고 있나요?

감정 호텔에는 날마다 다양한 감정이 찾아온다. 감정마다 주의할 점도 다 다르다. 목소리가 작은 슬픔의 이야기는 귀를 기울이지 않으면 잘 들리지 않는다. 시끄러운 분노는 마음껏 소리 지를 수 있도록 가장 큰 방을 내주어야 한다. 감정 호텔의 지배인은 감정들이 잘 지내고 있는지 늘 세심하게 보살펴야 한다. 그러나 늘 까다로운 손님만 있는 것은 아니다. 사랑과 기쁨, 그리고 희망이 찾아오면 호텔은 환한 빛과 웃음이 가득한 마법 같은 곳으로 바뀐다. 그리고 그 중심에는 어떤 감정이라도 따뜻하게 맞이하고 이야기를 들어 줄 여러분이라는 지배인이 있다.",10.0,487
241,9791130604626,16384156,이토록 공부가 재미있어지는 순간,18000,16200,900,박성혁 저,다산북스,"『이토록 공부가 재미있어지는 순간』 50만 부 돌파
우리들 에디션 출시!

★★★ 청소년 분야 최초 종합 베스트셀러 1위
★★★ 전국 서점 청소년 분야 최장기 스테디셀러 1위
★★★ 학교 선생님들이 직접 사서 읽어주는 공부법 바이블

“내 공부의 심장이 미친 듯 뛰기 시작했습니다!”

그 흔한 학원 하나 없는 깡촌 시골마을에서
내가 서울대 법대, 연세대 경영대, 동신대 한의대에 동시 합격한 비결",10.0,222
